"GEO_ID","NAME","B05003D_001E","B05003D_001M","B05003D_002E","B05003D_002M","B05003D_003E","B05003D_003M","B05003D_004E","B05003D_004M","B05003D_005E","B05003D_005M","B05003D_006E","B05003D_006M","B05003D_007E","B05003D_007M","B05003D_008E","B05003D_008M","B05003D_009E","B05003D_009M","B05003D_010E","B05003D_010M","B05003D_011E","B05003D_011M","B05003D_012E","B05003D_012M","B05003D_013E","B05003D_013M","B05003D_014E","B05003D_014M","B05003D_015E","B05003D_015M","B05003D_016E","B05003D_016M","B05003D_017E","B05003D_017M","B05003D_018E","B05003D_018M","B05003D_019E","B05003D_019M","B05003D_020E","B05003D_020M","B05003D_021E","B05003D_021M","B05003D_022E","B05003D_022M","B05003D_023E","B05003D_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37095","Hyde County, North Carolina","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"0500000US37119","Mecklenburg County, North Carolina","60906","726","30704","426","7402","261","5159","338","2243","352","357","121","1886","348","23302","295","3520","418","19782","465","8229","604","11553","707","30202","452","7128","263","4986","339","2142","368","461","143","1681","355","23074","332","3521","418","19553","455","8950","493","10603","589"
"0500000US37131","Northampton County, North Carolina","45","46","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","45","46","17","29","17","29","0","23","0","23","0","23","28","31","25","31","3","5","0","23","3","5"
"0500000US37159","Rowan County, North Carolina","1236","204","694","149","128","80","97","79","31","36","31","36","0","29","566","124","143","92","423","120","242","81","181","93","542","127","83","66","76","63","7","12","7","12","0","29","459","85","96","71","363","114","190","92","173","93"
"0500000US37181","Vance County, North Carolina","288","58","87","55","49","29","21","23","28","46","0","26","28","46","38","40","0","26","38","40","0","26","38","40","201","71","32","25","22","19","10","12","0","26","10","12","169","65","0","26","169","65","54","52","115","92"
"0500000US37053","Currituck County, North Carolina","94","35","24","27","0","23","0","23","0","23","0","23","0","23","24","27","15","23","9","14","8","14","1","5","70","28","0","23","0","23","0","23","0","23","0","23","70","28","46","31","24","23","18","21","6","9"
"0500000US37179","Union County, North Carolina","6151","242","2922","133","892","84","801","93","91","49","38","31","53","39","2030","81","587","140","1443","127","900","108","543","119","3229","158","896","117","787","112","109","47","71","38","38","29","2333","100","405","106","1928","111","1323","120","605","123"
"0500000US37067","Forsyth County, North Carolina","8403","332","3981","210","1014","147","508","134","506","130","88","63","418","131","2967","121","541","119","2426","147","1253","169","1173","189","4422","204","929","132","556","125","373","117","240","102","133","82","3493","150","444","125","3049","185","1383","161","1666","208"
"0500000US37127","Nash County, North Carolina","896","156","395","109","120","66","13","21","107","62","32","51","75","47","275","73","23","34","252","69","93","57","159","68","501","87","84","47","12","20","72","46","0","29","72","46","417","64","58","54","359","63","260","74","99","63"
"0500000US37017","Bladen County, North Carolina","35","38","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","35","38","0","26","0","26","0","26","0","26","0","26","35","38","0","26","35","38","0","26","35","38"
"0500000US37055","Dare County, North Carolina","228","73","68","37","0","26","0","26","0","26","0","26","0","26","68","37","24","41","44","35","23","32","21","28","160","75","47","45","21","28","26","39","26","39","0","26","113","62","0","26","113","62","90","57","23","29"
"0500000US37185","Warren County, North Carolina","90","22","24","22","2","4","2","4","0","23","0","23","0","23","22","21","15","20","7","10","7","10","0","23","66","23","9","12","9","12","0","23","0","23","0","23","57","18","38","20","19","22","16","20","3","5"
"0500000US37195","Wilson County, North Carolina","644","235","348","117","41","62","41","62","0","29","0","29","0","29","307","68","22","22","285","67","170","75","115","75","296","135","41","65","41","65","0","29","0","29","0","29","255","93","32","33","223","88","127","78","96","61"
"0500000US37015","Bertie County, North Carolina","125","21","53","18","17","12","14","12","3","6","0","19","3","6","36","15","16","16","20","12","17","13","3","6","72","8","3","6","3","6","0","19","0","19","0","19","69","8","18","16","51","13","20","16","31","25"
"0500000US37073","Gates County, North Carolina","55","23","15","12","8","7","8","7","0","19","0","19","0","19","7","6","1","3","6","6","0","19","6","6","40","19","29","14","29","14","0","19","0","19","0","19","11","6","0","19","11","6","4","8","7","7"
