cvap.all_races(count),CountyName,cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%)
103503,RANDOLPH,6494,90833,6.2742142739823965,87.75880892341284,1.3962022510984151
70659,ROCKINGHAM,13518,53939,19.131320850847025,76.33705543525949,0.9531535787403546
36508,STOKES,1552,33987,4.251123041525145,93.09466418319272,0.4924741484121324
9410,WASHINGTON,4367,4630,46.40807651434644,49.20297555791711,0.12693606159083395
7869,CAMDEN,1100,6464,13.978904562206125,82.14512644554581,0.10614876393817985
8704,CLAY,133,8366,1.5280330882352942,96.11672794117646,0.11741248460006574
241269,CUMBERLAND,89866,114659,37.24722198044506,47.52330386415163,3.2545947549371856
160890,GASTON,25578,126462,15.897818385232146,78.6015289949655,2.1703233740009855
377164,GUILFORD,129996,217532,34.4667041393134,57.67570605890276,5.087748430801838
34210,JACKSON,856,29295,2.502192341420637,85.63285589009061,0.46147530999175657
73101,MOORE,9057,60020,12.38970739114376,82.10557995102666,0.9860949031191873
95509,ROBESON,24081,28303,25.213330680878244,29.633856495199407,1.288367301432408
46749,STANLY,5098,39737,10.905046097242721,85.00074867911613,0.6306199727215618
719849,WAKE,153556,487769,21.331695952901235,67.75990520234105,9.710392879925635
14020,YANCEY,117,13559,0.8345221112696148,96.71184022824536,0.18912259123310224
51871,CHATHAM,6605,41593,12.733511981646778,80.1854600836691,0.6997131191050104
34704,MCDOWELL,1327,32124,3.8237667127708623,92.56569847856154,0.4681391159881298
131255,JOHNSTON,21604,100022,16.459563445202086,76.2043350729496,1.7705624616477056
7626,JONES,2507,4960,32.87437713086808,65.04065040650407,0.10287081888328371
30124,PERSON,8161,20847,27.091355729650775,69.20395697782499,0.40635727092054
103762,BRUNSWICK,10700,88965,10.312060291821668,85.73948073475839,1.3996960279264732
21275,ASHE,177,20526,0.8319623971797885,96.47943595769682,0.2869888108761947
36615,BEAUFORT,9262,25858,25.29564386180527,70.62133005598798,0.4939175233951525
42517,LENOIR,17241,23189,40.55083848813416,54.540536726485875,0.573532468720243
51906,RUTHERFORD,5171,44887,9.96223943282087,86.47747851886102,0.700185251108802
61892,LINCOLN,3374,55369,5.451431525883797,89.4606734311381,0.8348912565334639
144189,ONSLOW,21195,100276,14.69945696273641,69.5448335171199,1.945035471277445
104618,ORANGE,12928,80545,12.357338125370395,76.98961937716263,1.411243027790634
43220,SAMPSON,12432,26491,28.76446089773253,61.29338269319759,0.5830155772535434
28312,YADKIN,1011,25998,3.570923989827635,91.82678722803051,0.3819143226099565
