CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian,cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registrants(party),most_registered(%)
CLEVELAND,23129,21711,281,10,28,17897,45819,13437,88,3712,657,27977,33006,2073,63056,2020-03-14,,74468,14872,57039,19.97099425256486,76.59531610893269,1.004535030238706,468.2775390625,159.02535096833017,31.058978353118118,29.154804748348283,0.3773432883923296,0.013428586775527744,0.03760004297147768,24.033141752162003,84.67529677176773,90.35099515868747,18.04399205027663,21.30962953565085,80.32924840898333,61.52844174679057,72.66398122303984,democrats,31.058978353118118
COLUMBUS,17061,8139,78,3,11,9800,21919,10742,939,1492,308,15663,18766,663,35092,2020-03-14,,43010,13261,26953,30.832364566379912,62.66682166937922,0.5801827852307936,953.15517578125,45.12381728898132,39.667519181585675,18.923506161357825,0.1813531736805394,0.006975122064636131,0.02557544757033248,22.785398744478027,81.59032783073704,81.00444913656587,24.975587072773774,30.61096546221361,81.3230438170148,50.962566844919785,62.46152969337741,democrats,39.667519181585675
CRAVEN,21358,24782,410,27,29,22425,48622,14623,164,5622,1621,30280,36515,2236,69031,2020-03-14,,78104,16604,55120,21.258834374679914,70.57256990679095,1.0535828006897443,770.877392578125,101.31831696190845,27.34559049472498,31.72948888661272,0.5249411041688006,0.03456929222575028,0.03712998053876882,28.71171770972037,88.3834374679914,88.06913996627318,18.72247260063505,21.183236516927177,88.21117561683599,62.252893577793714,70.43502194666165,republicans,31.72948888661272
CUMBERLAND,92304,47694,1316,47,113,68073,88787,85947,2279,32534,12148,86290,108536,14721,209547,2020-03-14,,241269,89866,114659,37.24722198044506,47.52330386415163,3.2545947549371856,658.12822265625,366.598774667681,38.25771234597068,19.767976822550764,0.5454492703165347,0.01948033108273338,0.046835689624444087,28.214565484998072,86.85201994454323,95.63906260432199,35.62289394824864,41.01561940757921,77.43570064277553,36.800003315801035,42.37092394546331,democrats,38.25771234597068
CURRITUCK,3562,7977,175,10,9,8526,18098,1076,46,1039,152,9604,10153,502,20259,2020-03-14,,19843,1136,17563,5.724940785163533,88.50980194527037,0.26767186717820596,443.646337890625,44.72706817404638,17.950914680239883,40.20057450990274,0.8819230963060021,0.050395605503200123,0.045356044952880106,42.967293252028426,102.09645718893313,94.71830985915493,5.422567152144333,5.311219704822548,103.04617662130616,91.20596683969158,89.33313589022163,unaffiliated,42.967293252028426
DARE,8009,9602,221,11,10,11858,27621,573,36,1481,262,13811,15216,684,29711,2020-03-14,,27770,626,25786,2.254231184731725,92.85559956787901,0.3746030212940976,1248.6279296875,22.240412327593962,28.840475333093266,34.57688152682751,0.7958228303925099,0.03961109110550954,0.036010082823190494,42.70075621173929,106.98955707598128,91.53354632587859,2.063377745768815,1.928578640907408,107.11626463972698,99.46344976593446,92.96556830803407,unaffiliated,42.70075621173929
DAVIDSON,23393,50514,481,22,42,32236,88188,10102,248,8150,2124,48044,54768,3876,106688,2020-03-14,,122830,11529,105834,9.386143450297158,86.16298949767972,1.6569135435921503,567.52353515625,216.43155286270652,19.04502157453391,41.125132296670195,0.3915981437759505,0.017910933810958235,0.03419360091182936,26.244402833184076,86.85825938288691,87.62251713071385,8.224375152650005,9.468731253749251,83.32671920176881,71.79679231458113,82.65971805638873,republicans,41.125132296670195
DAVIE,5008,15237,135,6,14,9313,25574,1864,35,2240,548,13578,15124,1011,29713,2020-03-14,,31801,1897,28512,5.965221219458508,89.6575579384296,0.4289791386450702,266.549169921875,119.30631788994431,15.747932454954247,47.91358762303072,0.4245149523599887,0.018867331215999497,0.04402377283733216,29.285242602433886,93.43416873683218,98.26041117554033,5.86145089777051,6.273348366035068,89.69556677890012,80.41885475299519,86.070070339582,republicans,47.91358762303072
DUPLIN,12435,8253,105,3,18,8417,17889,8382,49,2911,1614,12700,15242,1289,29231,2020-03-14,,39263,11237,25046,28.61982018694445,63.79033695845962,0.5296376818534445,819.26748046875,47.92451908079566,31.67103889157731,21.019789623818863,0.26742734890354786,0.007640781397244225,0.04584468838346535,21.43748567353488,74.4492270076153,74.59286286375367,21.348343223900365,28.675036776025454,71.4245787750539,45.561979471767316,61.198727378468064,democrats,31.67103889157731
DURHAM,124345,25886,1139,108,54,76601,109598,78781,574,39180,9357,93684,118850,15599,228133,2020-03-14,,213778,85724,107439,40.09954251606807,50.25727623983759,2.883755300187598,298.5773681640625,715.9886273849568,58.165480077463535,12.108823171701484,0.5327957039545697,0.05051969800447193,0.025259849002235966,35.83203135963476,106.71490985976106,91.90075124819187,36.85178081935466,34.532925968623566,102.00951237446365,51.2672024249455,48.041274169015445,democrats,58.165480077463535
