CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian
MONTGOMERY,6259,5290,73,1,19,4465,11482,3204,43,1378,604,7397,8259,451,16107,2020-03-28,
MOORE,15872,28551,438,17,35,24603,56707,7949,311,4549,1273,31118,37123,1275,69516,2020-03-28,
NASH,31389,18829,234,8,36,15716,34678,26519,330,4685,1356,28981,35279,1952,66212,2020-03-28,
NEW HANOVER,50989,52457,1234,57,72,63730,131571,20578,388,16002,3128,72486,85181,10872,168539,2020-03-28,
NORTHAMPTON,9103,1399,26,4,3,3021,5230,7777,33,516,49,5917,7177,462,13556,2020-03-28,
ONSLOW,24969,39990,1091,38,86,41568,75363,18391,378,13610,5809,46987,56103,4652,107742,2020-03-28,
ORANGE,51786,14816,651,38,24,43758,78469,12248,263,20093,3875,46791,56101,8181,111073,2020-03-28,
PAMLICO,3223,3335,45,1,5,2640,7174,1521,28,526,83,4194,4752,303,9249,2020-03-28,
PASQUOTANK,11322,6233,165,14,9,9419,15562,9666,40,1894,277,11853,14337,972,27162,2020-03-28,
PENDER,11516,16123,274,9,26,13823,32329,6034,100,3308,844,19013,21244,1514,41771,2020-03-28,
PERQUIMANS,3183,2668,32,2,7,2982,6577,1955,18,324,36,4043,4680,151,8874,2020-03-28,
PERSON,11013,6831,100,4,8,8118,17409,6993,122,1550,357,11551,13770,753,26074,2020-03-28,
PITT,51898,30896,731,51,68,37253,67725,41968,256,10948,2799,50884,64308,5705,120897,2020-03-28,
POLK,3909,5602,81,9,8,5860,14084,663,7,715,207,6997,8207,265,15469,2020-03-28,
RANDOLPH,16822,45879,504,19,46,26230,76275,5689,276,7260,2950,40966,45824,2710,89500,2020-03-28,
RICHMOND,13968,6170,85,8,19,8123,17001,9379,391,1602,401,12640,15141,592,28373,2020-03-28,
ROBESON,43383,9985,204,13,57,20513,21266,20558,25989,6342,1674,32589,40498,1068,74155,2020-03-28,
ROCKINGHAM,19972,21393,265,11,28,17011,43151,11357,106,4066,903,26811,31816,53,58680,2020-03-28,
ROWAN,24830,38300,422,28,47,28572,68966,15622,177,7434,2091,41248,47136,3815,92199,2020-03-28,
