registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registered(%),CountyName,most_new_registrants(party),most_new_registered(%)
-100.0,270.0,0.0,5.0,2.0,229.0,227.0,15.0,0.0,164.0,9.0,159.0,105.0,142.0,406.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.14219289888663056,0.3839208269938972,0.0,0.007109644944331479,0.0028438579777325876,0.32562173845038345,0.5773031694797197,0.3078817733990036,0.021328934832994584,-0.015557765211093866,0.3738841123958281,0.3227778804726569,-0.22929988872235185,0.3839208269938972,BURKE,republicans,0.3839208269938972
-99.0,284.0,1.0,6.0,4.0,245.0,233.0,19.0,0.0,189.0,9.0,164.0,97.0,180.0,441.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.1407709698977655,0.4038278328380258,0.0014219289888662834,0.008531573933197777,0.005687715955465182,0.3483726022722422,0.6270706840900289,0.3899835796387521,0.027016650788459273,-0.011972390194875615,0.38376651184240984,0.33130945440585435,-0.27355053470120083,0.4038278328380258,BURKE,republicans,0.4038278328380258
-102.0,315.0,1.0,6.0,4.0,249.0,237.0,19.0,0.0,217.0,9.0,168.0,90.0,215.0,473.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.14503675686436424,0.4479076314928818,0.0014219289888662834,0.008531573933197777,0.005687715955465182,0.35406031822770956,0.6725724117337535,0.3899835796387521,0.027016650788459273,-0.015335963535109798,0.39035477814013575,0.3369971703613146,-0.31665561303987033,0.4479076314928818,BURKE,republicans,0.4479076314928818
-106.0,330.0,2.0,7.0,4.0,244.0,231.0,17.0,0.0,233.0,8.0,159.0,88.0,234.0,481.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.15072447281982804,0.4692365663258755,0.0028438579777325668,0.009953502922064074,0.005687715955465182,0.34695067328337714,0.6839478436446882,0.3489326765188707,0.024172792810726484,-0.019805681192218927,0.380472378693554,0.3284655964281171,-0.34012708177554885,0.4692365663258755,BURKE,republicans,0.4692365663258755
-130.0,315.0,2.0,7.0,4.0,248.0,177.0,12.0,0.0,257.0,8.0,128.0,58.0,260.0,446.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.1848507685526215,0.4479076314928818,0.0028438579777325668,0.009953502922064074,0.005687715955465182,0.35263838923884094,0.6341803290343648,0.24630541871920286,0.017063147866395845,-0.025209301172741228,0.29153078367427554,0.2516814310293398,-0.38311268429836787,0.4479076314928818,BURKE,republicans,0.4479076314928818
-133.0,327.0,5.0,7.0,4.0,258.0,182.0,12.0,0.0,274.0,9.0,134.0,57.0,277.0,468.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.18911655551922024,0.4649707793592768,0.007109644944331472,0.009953502922064074,0.005687715955465182,0.3668576791275058,0.6654627667894175,0.24630541871920286,0.017063147866395845,-0.02751668179394251,0.2997661165464365,0.2587910759736758,-0.40862228600646233,0.4649707793592768,BURKE,republicans,0.4649707793592768
-140.0,342.0,5.0,7.0,3.0,277.0,191.0,12.0,-1.0,292.0,9.0,145.0,55.0,294.0,494.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.19907005844128278,0.48629971419227047,0.007109644944331472,0.009953502922064074,0.004265786966598885,0.3938743299159633,0.7024329204999447,0.24630541871920286,0.017063147866395845,-0.03024121141555547,0.3145897157163091,0.271588436873472,-0.43313593929053695,0.48629971419227047,BURKE,republicans,0.48629971419227047
-143.0,360.0,5.0,9.0,4.0,296.0,204.0,11.0,-1.0,317.0,10.0,152.0,58.0,321.0,531.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.20333584540788152,0.5118944359918665,0.007109644944331472,0.012797360899796661,0.005687715955465182,0.4208909807044243,0.7550442930880052,0.2257799671592693,0.015641218877529006,-0.0359270702042922,0.33600158118390766,0.29007351372872847,-0.4676322391649421,0.5118944359918665,BURKE,republicans,0.5118944359918665
-156.0,367.0,6.0,9.0,4.0,303.0,180.0,8.0,-1.0,346.0,11.0,146.0,39.0,348.0,533.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.2218209222631451,0.521847938913929,0.008531573933197756,0.012797360899796661,0.005687715955465182,0.43084448362648686,0.7578881510657283,0.16420361247946857,0.011375431910930267,-0.04157521578255796,0.2964719833975664,0.25594721799593856,-0.5142817463520117,0.521847938913929,BURKE,republicans,0.521847938913929
-159.0,370.0,6.0,9.0,4.0,297.0,174.0,8.0,-1.0,346.0,10.0,146.0,33.0,348.0,527.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.22608670922974383,0.5261137258805277,0.008531573933197756,0.012797360899796661,0.005687715955465182,0.4223129096932894,0.7493565771325308,0.16420361247946857,0.011375431910930267,-0.04094838384645971,0.28658958395098466,0.24741564406274108,-0.5157529670604362,0.5261137258805277,BURKE,republicans,0.5261137258805277
