Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct,CountyName
2.0,5.0,0.0,0.0,0.0,3.0,3.0,-1.0,0.0,8.0,0.0,10.0,0.0,0.0,10.0,28629,0.006985923364418056,0.017464808411048693,0.0,0.0,0.0,0.010478885046630637,0.03492961682209739,ALEXANDER
-16.0,62.0,1.0,1.0,2.0,32.0,45.0,5.0,0.0,32.0,3.0,42.0,24.0,16.0,82.0,28629,-0.055887386915365767,0.2165636242970379,0.0034929616822103604,0.003492961682210346,0.006985923364420693,0.11177477383073153,0.2864228579412469,ALEXANDER
-52.0,95.0,0.0,1.0,2.0,62.0,54.0,5.0,0.0,49.0,6.0,45.0,28.0,35.0,108.0,28629,-0.18163400747494052,0.331831359809982,0.0,0.003492961682210346,0.006985923364420693,0.21656362429704146,0.37723986167871715,ALEXANDER
-55.0,98.0,0.0,1.0,2.0,58.0,45.0,2.0,0.0,57.0,6.0,43.0,19.0,42.0,104.0,28629,-0.19211289252157115,0.34231024485661266,0.0,0.003492961682210346,0.006985923364420693,0.2025917775682018,0.3632680149498668,ALEXANDER
-60.0,101.0,0.0,1.0,4.0,59.0,41.0,1.0,0.0,63.0,6.0,40.0,18.0,47.0,105.0,28629,-0.2095777009326234,0.3527891299032433,0.0,0.003492961682210346,0.013971846728841386,0.20608473925041082,0.3667609766320794,ALEXANDER
-60.0,101.0,0.0,1.0,4.0,63.0,41.0,1.0,0.0,67.0,6.0,41.0,15.0,53.0,109.0,28629,-0.2095777009326234,0.3527891299032433,0.0,0.003492961682210346,0.013971846728841386,0.22005658597925404,0.38073282336092973,ALEXANDER
-67.0,95.0,1.0,1.0,4.0,63.0,21.0,1.0,0.0,75.0,5.0,31.0,6.0,60.0,97.0,28629,-0.2340284327080937,0.331831359809982,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.22005658597925404,0.33881728317439297,ALEXANDER
-70.0,91.0,1.0,1.0,3.0,71.0,14.0,1.0,0.0,82.0,5.0,29.0,4.0,64.0,97.0,28629,-0.24450731775472434,0.3178595130811388,0.0034929616822103604,0.003492961682210346,0.01047888504663104,0.24800027943693692,0.33881728317439297,ALEXANDER
-73.0,93.0,1.0,1.0,4.0,76.0,12.0,0.0,0.0,90.0,5.0,29.0,2.0,71.0,102.0,28629,-0.254986202801355,0.32484543644556396,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.2654650878479856,0.3562820915854559,ALEXANDER
-74.0,96.0,1.0,1.0,4.0,84.0,18.0,0.0,0.0,94.0,5.0,33.0,3.0,76.0,112.0,28629,-0.25847916448356756,0.3353243214921946,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.2934087813056685,0.39121170840755326,ALEXANDER
-80.0,88.0,1.0,1.0,4.0,80.0,1.0,-1.0,0.0,94.0,5.0,23.0,-5.0,76.0,94.0,28629,-0.27943693457682883,0.30738062803450816,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.27943693457682883,0.32833839812776944,ALEXANDER
-82.0,94.0,1.0,1.0,4.0,85.0,4.0,0.0,0.0,99.0,7.0,25.0,-1.0,79.0,103.0,28629,-0.28642285794125044,0.32833839812776944,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.2969017429878811,0.35977505326766845,ALEXANDER
-80.0,103.0,1.0,1.0,4.0,89.0,13.0,0.0,0.0,105.0,8.0,29.0,6.0,83.0,118.0,28629,-0.27943693457682883,0.35977505326766845,0.0034929616822103604,0.003492961682210346,0.013971846728841386,0.31087358971672074,0.41216947850081453,ALEXANDER
-82.0,102.0,2.0,1.0,4.0,90.0,8.0,0.0,0.0,109.0,8.0,27.0,3.0,87.0,117.0,28629,-0.28642285794125044,0.3562820915854559,0.006985923364420665,0.003492961682210346,0.013971846728841386,0.3143665513989333,0.40867651681860195,ALEXANDER
-88.0,104.0,4.0,1.0,4.0,90.0,-10.0,2.0,0.0,123.0,9.0,18.0,-3.0,100.0,115.0,28629,-0.3073806280345117,0.36326801494987393,0.013971846728841386,0.003492961682210346,0.013971846728841386,0.3143665513989333,0.401690593454191,ALEXANDER
-90.0,109.0,5.0,1.0,4.0,89.0,-13.0,0.0,0.0,131.0,9.0,18.0,-8.0,108.0,118.0,28629,-0.3143665513989333,0.38073282336092973,0.017464808411051747,0.003492961682210346,0.013971846728841386,0.31087358971672074,0.41216947850081453,ALEXANDER
-93.0,110.0,5.0,1.0,4.0,91.0,-17.0,0.0,0.0,135.0,9.0,18.0,-11.0,111.0,118.0,28629,-0.32484543644556396,0.3842257850431352,0.017464808411051747,0.003492961682210346,0.013971846728841386,0.31785951308114235,0.41216947850081453,ALEXANDER
-95.0,123.0,5.0,1.0,4.0,94.0,-8.0,-1.0,0.0,141.0,9.0,22.0,-7.0,117.0,132.0,28629,-0.33183135980998557,0.42963428691187033,0.017464808411051747,0.003492961682210346,0.013971846728841386,0.328338398127773,0.46107094205176224,ALEXANDER
-97.0,132.0,6.0,1.0,4.0,100.0,-9.0,0.0,0.0,155.0,9.0,22.0,-7.0,131.0,146.0,28629,-0.3388172831744036,0.46107094205176224,0.02095777009326205,0.003492961682210346,0.013971846728841386,0.34929616822103426,0.50997240560271,ALEXANDER
-95.0,143.0,7.0,1.0,4.0,104.0,-17.0,0.0,0.0,181.0,9.0,17.0,-14.0,161.0,164.0,28629,-0.33183135980998557,0.4994935205560793,0.024450731775472412,0.003492961682210346,0.013971846728841386,0.3632680149498775,0.5728457158824938,ALEXANDER
-117.0,149.0,7.0,1.0,4.0,103.0,-45.0,-3.0,0.0,195.0,7.0,-5.0,-24.0,176.0,147.0,28629,-0.4086765168186126,0.5204512906493406,0.024450731775472412,0.003492961682210346,0.013971846728841386,0.3597750532676649,0.5134653672849225,ALEXANDER
-127.0,165.0,7.0,1.0,4.0,100.0,-58.0,-2.0,0.0,210.0,7.0,-16.0,-23.0,189.0,150.0,28629,-0.44360613364071355,0.5763386775647064,0.024450731775472412,0.003492961682210346,0.013971846728841386,0.34929616822103426,0.5239442523315461,ALEXANDER
-129.0,176.0,7.0,1.0,4.0,106.0,-56.0,-3.0,0.0,224.0,7.0,-8.0,-28.0,201.0,165.0,28629,-0.45059205700513516,0.6147612560690234,0.024450731775472412,0.003492961682210346,0.013971846728841386,0.3702539383142991,0.5763386775647064,ALEXANDER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALLEGHANY
-5.0,0.0,0.0,0.0,0.0,-1.0,-6.0,0.0,0.0,0.0,0.0,-4.0,-2.0,0.0,-6.0,8638,-0.05788376939106499,0.0,0.0,0.0,0.0,-0.011576753878212998,-0.06946052326927088,ALLEGHANY
-1.0,2.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,8.0,0.0,-4.0,-2.0,8.0,2.0,8638,-0.011576753878212998,0.023153507756422442,0.0,0.0,0.0,0.011576753878212998,0.0231535077564331,ALLEGHANY
-1.0,1.0,0.0,0.0,0.0,-2.0,-9.0,0.0,0.0,7.0,-2.0,-5.0,-5.0,8.0,-2.0,8638,-0.011576753878212998,0.011576753878212998,0.0,0.0,0.0,-0.023153507756425995,-0.02315350775641889,ALLEGHANY
-3.0,15.0,0.0,0.0,0.0,18.0,15.0,1.0,0.0,14.0,0.0,9.0,7.0,14.0,30.0,8638,-0.03473026163463899,0.17365130817318786,0.0,0.0,0.0,0.20838156980782685,0.3473026163463828,ALLEGHANY
-23.0,27.0,-1.0,0.0,0.0,35.0,18.0,3.0,1.0,16.0,0.0,11.0,10.0,17.0,38.0,8638,-0.2662653391988883,0.3125723547117367,-0.011576753878212498,0.0,0.0,0.4051863857374407,0.4399166473720868,ALLEGHANY
-27.0,28.0,-1.0,0.0,0.0,32.0,13.0,2.0,1.0,16.0,0.0,8.0,7.0,17.0,32.0,8638,-0.3125723547117403,0.3241491085899497,-0.011576753878212498,0.0,0.0,0.3704561241028017,0.3704561241028017,ALLEGHANY
-30.0,30.0,-1.0,0.0,0.0,30.0,10.0,2.0,1.0,16.0,-2.0,5.0,6.0,18.0,29.0,8638,-0.3473026163463757,0.3473026163463757,-0.011576753878212498,0.0,0.0,0.3473026163463757,0.33572586246816627,ALLEGHANY
-32.0,31.0,-1.0,0.0,0.0,29.0,7.0,3.0,1.0,16.0,-2.0,6.0,3.0,18.0,27.0,8638,-0.3704561241028017,0.3588793702245887,-0.011576753878212498,0.0,0.0,0.33572586246816627,0.3125723547117474,ALLEGHANY
-30.0,31.0,-1.0,0.0,0.0,27.0,4.0,3.0,1.0,19.0,-1.0,6.0,-2.0,23.0,27.0,8638,-0.3473026163463757,0.3588793702245887,-0.011576753878212498,0.0,0.0,0.3125723547117403,0.3125723547117474,ALLEGHANY
-31.0,35.0,-1.0,0.0,0.0,31.0,8.0,3.0,1.0,22.0,-1.0,7.0,1.0,26.0,34.0,8638,-0.3588793702245887,0.40518638573743715,-0.011576753878212498,0.0,0.0,0.3588793702245887,0.3936096318592348,ALLEGHANY
-31.0,37.0,-1.0,0.0,0.0,34.0,9.0,3.0,1.0,26.0,-1.0,9.0,1.0,29.0,39.0,8638,-0.3588793702245887,0.42833989349386314,-0.011576753878212498,0.0,0.0,0.3936096318592277,0.45149340125028914,ALLEGHANY
