"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37075","Graham County, North Carolina","8557","*****","4210","68","901","64","901","64","0","17","0","17","0","17","3309","79","3258","60","51","57","5","6","46","58","4347","68","854","66","854","66","0","17","0","17","0","17","3493","28","3461","40","32","26","24","22","8","12"
"0500000US37117","Martin County, North Carolina","23054","*****","10805","118","2390","121","2365","119","25","18","0","23","25","18","8415","25","8271","58","144","62","43","38","101","45","12249","118","2385","118","2374","117","11","17","0","23","11","17","9864","29","9601","88","263","84","90","59","173","62"
"0500000US37115","Madison County, North Carolina","21405","*****","10502","113","1983","40","1972","35","11","20","11","20","0","23","8519","118","8322","117","197","80","41","35","156","67","10903","113","1899","77","1896","77","3","5","3","5","0","23","9004","113","8807","135","197","100","132","94","65","47"
"0500000US37137","Pamlico County, North Carolina","12742","*****","6563","57","1072","44","1064","43","8","12","0","19","8","12","5491","33","5317","51","174","46","52","36","122","39","6179","57","899","46","898","46","1","4","1","4","0","19","5280","30","5097","58","183","62","106","45","77","45"
"0500000US37143","Perquimans County, North Carolina","13459","*****","6493","118","1277","96","1277","96","0","19","0","19","0","19","5216","49","5096","81","120","63","70","46","50","41","6966","118","1302","97","1302","97","0","19","0","19","0","19","5664","48","5506","83","158","68","79","48","79","62"
"0500000US37149","Polk County, North Carolina","20458","*****","9682","135","1721","75","1710","75","11","17","11","17","0","23","7961","100","7652","104","309","102","128","69","181","88","10776","135","1707","76","1671","79","36","24","11","17","25","22","9069","96","8685","132","384","88","227","78","157","67"
"0500000US37151","Randolph County, North Carolina","142958","*****","70428","85","16812","84","16525","165","287","148","76","61","211","133","53616","*****","48969","257","4647","257","1160","217","3487","312","72530","85","16185","84","15906","181","279","160","30","29","249","155","56345","*****","52330","265","4015","265","1044","229","2971","310"
"0500000US37157","Rockingham County, North Carolina","91270","*****","43989","141","9516","88","9391","135","125","110","0","29","125","110","34473","115","33073","270","1400","251","545","178","855","261","47281","141","9305","79","9157","103","148","114","20","34","128","109","37976","111","36233","208","1743","182","808","214","935","199"
"0500000US37169","Stokes County, North Carolina","45905","*****","22483","167","4461","88","4461","88","0","26","0","26","0","26","18022","137","17681","167","341","104","103","88","238","105","23422","167","4459","99","4449","100","10","17","0","26","10","17","18963","135","18608","148","355","175","116","51","239","164"
"0500000US37187","Washington County, North Carolina","12156","*****","5726","140","1308","124","1304","124","4","7","1","2","3","6","4418","82","4228","22","190","82","12","21","178","81","6430","140","1171","124","1171","124","0","19","0","19","0","19","5259","82","5146","102","113","90","24","32","89","87"
"0500000US37029","Camden County, North Carolina","10447","*****","5263","106","1309","93","1309","93","0","19","0","19","0","19","3954","65","3855","72","99","61","87","59","12","15","5184","106","1182","102","1182","102","0","19","0","19","0","19","4002","43","3799","69","203","66","128","55","75","58"
"0500000US37043","Clay County, North Carolina","10813","*****","5125","122","928","134","928","134","0","19","0","19","0","19","4197","94","4053","109","144","84","46","39","98","73","5688","122","961","95","959","95","2","4","2","4","0","19","4727","83","4529","105","198","98","76","57","122","84"
"0500000US37051","Cumberland County, North Carolina","332106","*****","165152","42","41833","34","41444","136","389","133","93","61","296","119","123319","26","115029","567","8290","575","4892","458","3398","404","166954","42","40687","35","39905","209","782","205","159","110","623","178","126267","28","114487","662","11780","659","6861","436","4919","475"
